,end_position,entity_type,lefts,rights,start_position,subtree,text_value
2421,150049,PERSON,[],[],150040,"[A.,  , It\, 's]",A.  It\'s
2422,150091,PERSON,[],[],150087,"[Q.,  ]",Q.  
2423,150215,ORG,[],[],150176,"[American, Tobacco, and, Brown, &, Williamson]",American Tobacco and Brown & Williamson
2424,150222,ORG,[],[],150217,[I\'ll],I\'ll
2425,150295,ORG,[],[of],150276,"[the, Surgeon, General, of, 2010]",the Surgeon General
2426,150303,DATE,[],[],150299,[2010],2010
2427,150579,CARDINAL,[],[],150576,[279],279
2428,150675,PERSON,[],[],150615,[www.veritext.com\n\n212-490-3430\n\n\xef\xbf\xbd\xef\xbf\xbd],www.veritext.com\n\n212-490-3430\n\n\xef\xbf\xbd\xef\xbf\xbd
2429,150918,CARDINAL,[],[],150904,[372\n\ngreater],372\n\ngreater
2430,150980,PERSON,[],[],150976,"[A.,  ]",A.  
2431,151025,PERSON,[],[],151021,"[Q.,  ]",Q.  
2432,151751,ORDINAL,[],[],151746,[First],First
2433,151897,PERSON,[],[],151884,"[that?\n\nA.,  ]",that?\n\nA.  
2434,152047,CARDINAL,[],[],152044,[279],279
2435,152567,CARDINAL,[],[],152515,[mmM)i0\\\'immi*inmi*mnm\n\nen\n\nCO\n\no>\n\nCO\n\no],mmM)i0\\\'immi*inmi*mnm\n\nen\n\nCO\n\no>\n\nCO\n\no
2436,152843,PERSON,[the],[],152811,"[the, situation.\n\nQ.,  , Well/, doesn\'t]",situation.\n\nQ.  Well/ doesn\'t
2437,153021,PERSON,"[a, nicotine, replacement]",[],153007,"[a, nicotine, replacement, product?\n\nMR]",product?\n\nMR
2438,153029,PERSON,[],[:],153023,"[LATHAM, :,  ]",LATHAM
2439,153056,PERSON,[],[],153052,"[A.,  ]",A.  
2440,153176,PERSON,[],[],153172,"[A.,  ]",A.  
2441,153480,ORG,[],[ ],153466,"[earlier.\n\nQ.,  ]",earlier.\n\nQ.
2442,153565,DATE,[],[],153560,[today],today
2443,153819,PERSON,[If],[asking],153812,"[If, you\'re, asking, me, about, in, terms, of, the, design, of, a, cigarette]",you\'re
2444,153915,CARDINAL,[],[],153912,[279],279
2445,154103,CARDINAL,[],[],154090,[w\xef\xbf\xbd],w\xef\xbf\xbd
2446,154110,CARDINAL,[],[],154108,[11],11
2447,154162,PERSON,"[\xef\xbf\xbdi\xef\xbf\xbd\xef\xbf\xbdi, ..]",[],154154,"[\xef\xbf\xbdi\xef\xbf\xbd\xef\xbf\xbdi, .., wg,      ]",wg      
2448,154388,FAC,[],[],154366,[of\n\n\n\n\t3\n\tsmoke],of\n\n\n\n\t3\n\tsmoke
2449,154451,PERSON,[how],[it],154427,"[how, they\n\n\n\n\t4\n\tsmoke, it]",they\n\n\n\n\t4\n\tsmoke
2450,154467,PERSON,[],['s],154461,"[there\, 's]",there\
2451,154708,PERSON,[So],[in],154689,"[So, a\n\n\n\n\t8\n\tlot, in, terms, of, what, the, smoker, would, draw, from, a\n\n\n\n\t9\n\tproduct]",a\n\n\n\n\t8\n\tlot
2452,154857,CARDINAL,[],[],154854,[one],one
2453,155078,PERSON,[],['s],155054,"[so\n\n\n\n\t14\n\tthere\, 's]",so\n\n\n\n\t14\n\tthere\
2454,155401,PERSON,[],[],155377,[apart.\n\n\n\n\t19\n\tIt],apart.\n\n\n\n\t19\n\tIt
2455,155417,PRODUCT,[],[],155409,[Nicotine],Nicotine
2456,155467,ORG,[],[],155443,[amount\n\n\n\n\t20\n\tof],amount\n\n\n\n\t20\n\tof
2457,155539,ORG,"[in, it]",[],155512,"[in, which, it, is\n\n\n\n\t21\n\tdelivered]",is\n\n\n\n\t21\n\tdelivered
2458,155547,PERSON,[],['s],155543,"[Let\, 's]",Let\
2459,155738,ORG,[],[of],155713,"[the\n\n\n\n\t24\n\tamount, of, nicotine, delivered?\n\n\nc\n\t25\n\tA.,  , The, cigarettes]",the\n\n\n\n\t24\n\tamount
2460,155865,CARDINAL,[],[],155862,[212],212
2461,155923,CARDINAL,[www.veritext.com],[],155920,"[www.veritext.com,               , 212]",212
2462,155927,CARDINAL,[-],[],155924,"[-, 490]",490
2463,156006,CARDINAL,[00\n\no\n\n01\n\no\n\n(O\x0c\npgNbr=111\n1\n\n3],[],156000,"[-, 490, -, 3430\n\n\nen, co, O\n\n4, *, 00\n\no\n\n01\n\no\n\n(O\x0c\npgNbr=111\n1\n\n3, 4\n\n5]",4\n\n5
2464,156010,TIME,[],[],156007,"[6, 7]",6 7
2465,156026,CARDINAL,[],[],156024,[13],13
2466,156032,DATE,[],[],156027,"[14, 15]",14 15
2467,156035,CARDINAL,[],[],156033,[16],16
2468,156041,CARDINAL,[],"[20, 22]",156039,"[18, 19, 20, 21, 22]",18
2469,156044,CARDINAL,[],[],156042,[19],19
2470,156047,CARDINAL,[19],[21],156045,"[19, 20, 21]",20
2471,156056,CARDINAL,[],[],156054,[23],23
2472,156086,CARDINAL,[24],[],156060,"[23, 24, 25\n\nPage, 375\n\nfeatures]",25\n\nPage 375\n\nfeatures
2473,156531,ORG,[],['s],156525,"[there\, 's]",there\
2474,156646,ORDINAL,[a],"[of, to]",156642,"[a, 10th, of, a, milligram, of, nicotine, to, higher, levels, of, say]",10th
2475,156661,CARDINAL,[a],[of],156652,"[a, milligram, of, nicotine]",milligram
2476,156712,CARDINAL,[],"[,]",156709,"[one, ,]",one
2477,156728,QUANTITY,[one],[of],156714,"[one, ,, two, milligrams, of, nicotine]",two milligrams
2478,157027,PERSON,[],[made],157015,"[\xef\xbf\xbd, that, have, been, made, by, American, Tobacco, and, Brown, &, Williamson, in, the, design, of, their, cigarettes]",\xef\xbf\xbd
2479,157090,ORG,[],[],157051,"[American, Tobacco, and, Brown, &, Williamson]",American Tobacco and Brown & Williamson
2480,157209,DATE,[],[],157200,"[the, years]",the years
2481,157341,CARDINAL,[],[],157338,[279],279
2482,157404,CARDINAL,[],[3430\n\n|],157401,"[490, -, 3430\n\n|]",490
2483,157781,ORG,[],[as],157771,"[fell\n\tas, well, as, a\n\nconsequence, of, that.\n\n\nQ.,  , Do, decisions]",fell\n\tas
2484,157806,ORG,[],[of],157790,"[a\n\nconsequence, of, that.\n\n\nQ.,  , Do, decisions]",a\n\nconsequence
2485,157931,ORG,[],[],157886,"[American, Tobacco, and\n\tBrown, &, \n\nWilliamson]",American Tobacco and\n\tBrown &\n\nWilliamson
2486,158123,PERSON,[],[],158110,[yielded\n\tin],yielded\n\tin
2487,158169,PERSON,[],[:],158163,"[LATHAM, :,  ]",LATHAM
2488,158237,ORDINAL,[],[    ],158219,"[a, machine.\n\n\nQ.,     ]",a machine.\n\n\nQ.
2489,158297,ORG,[],"[and, American]",158276,"[Brown, &, \n\nWilliamson, and, American]",Brown &\n\nWilliamson
2490,158310,NORP,[],[],158302,[American],American
2491,158466,PERSON,[],['s],158463,"[It\, 's]",It\
2492,158489,FAC,[],[],158479,[the\n\tway],the\n\tway
2493,158599,PERSON,[the],[ ],158581,"[the, cigarette.\n\n\nQ.,  ]",cigarette.\n\n\nQ.
2494,158668,QUANTITY,[the\n\ncigarette?\n\n\nA.],[],158663,"[the\n\ncigarette?\n\n\nA.,  ,  , It\, ']", It\'
2495,158701,ORG,"[the, same]",['s],158690,"[the, same, way.\n\tIt\, 's]",way.\n\tIt\
2496,158753,PERSON,[when],[],158746,"[when, you\'re]",you\'re
2497,158835,CARDINAL,[],[],158832,[279],279
2498,159272,DATE,[],[],159242,"[377\n\ninto, the, smoke.\n\nQ.,  ]",377\n\ninto the smoke.\n\nQ.  
2499,159355,PERSON,[],[],159343,[\xef\xbf\xbd],\xef\xbf\xbd
2500,159414,PERSON,[],[.],159412,"[MR, .]",MR
2501,159422,PERSON,[],[:],159416,"[LATHAM, :,  ]",LATHAM
2502,159448,PERSON,[],[],159444,"[A.,  ]",A.  
2503,159462,PERSON,"[So, now]","[talking, ?]",159455,"[So, now, you\'re, talking, about, actually, absorption, and, uptake, in, the, body, ?]",you\'re
2504,159528,PERSON,[],[],159521,"[Q.,     ]",Q.     
2505,159619,PERSON,[],[],159612,[you\'re],you\'re
2506,159692,PERSON,[],['s],159686,"[there\, 's]",there\
2507,159844,CARDINAL,[],[],159841,[114],114
2508,159902,PERSON,[],[above],159891,"[Summarising, above, columns]",Summarising
2509,160102,NORP,[],"[and, Brown]",160094,"[American, and, Brown, &, Williamson]",American
2510,160125,ORG,[],[],160107,"[Brown, &, Williamson]",Brown & Williamson
2511,160165,DATE,[],[],160160,[today],today
2512,160203,PERSON,[],[],160190,"[that?\n\nA.,  ]",that?\n\nA.  
2513,160223,PERSON,[],[say],160211,"[\xef\xbf\xbd, as, I, say]",\xef\xbf\xbd
2514,160274,PERSON,[],['s],160268,"[there\, 's]",there\
2515,160321,QUANTITY,[],[9424\n\nVERITEXT],160305,"[rapid\n\n212, -, 279, 279, -, 9424\n\nVERITEXT]",rapid\n\n212-279
2516,160602,PERSON,"[the, rapid\n\n212, COMPANY]",[],160357,"[the, rapid\n\n212, -, 279, -, 9424\n\nVERITEXT, REPORTING, COMPANY, www.veritext.com\n\n212-490-3430\n\n^\xef\xbf\xbd\xef\xbf\xbdHwswfvri\n\n*mmm*,,n,m*mmmmmmmmmmmmmmi*)*i****ti*\n\n\xef\xbf\xbd*^mm\xef\xbf\xbditmmmmmmm>mmmmmm\n\nMfffplPPMMMmfKH\n\ncn\n\nCO\n\nCo\n\no\n\ncn\n\nro\x0c\npgNbr=114\nPage, 378\n\nrise]","www.veritext.com\n\n212-490-3430\n\n^\xef\xbf\xbd\xef\xbf\xbdHwswfvri\n\n*mmm*,,n,m*mmmmmmmmmmmmmmi*)*i****ti*\n\n\xef\xbf\xbd*^mm\xef\xbf\xbditmmmmmmm>mmmmmm\n\nMfffplPPMMMmfKH\n\ncn\n\nCO\n\nCo\n\no\n\ncn\n\nro\x0c\npgNbr=114\nPage 378\n\nrise"
2517,160740,ORG,[],[ ],160724,"[addiction.\n\nQ.,  ]",addiction.\n\nQ.
2518,160820,PERSON,[],[:],160814,"[LATHAM, :,  ]",LATHAM
2519,160850,PERSON,[],[],160846,"[A.,  ]",A.  
2520,160877,CARDINAL,[],[],160874,[one],one
2521,160905,CARDINAL,[],[ ],160892,"[myself.\n\nQ.,  ]",myself.\n\nQ.
2522,161060,ORG,[],[],161041,"[account.\n\nQ.,     ]",account.\n\nQ.     
2523,161089,PERSON,[],[],161077,[\xef\xbf\xbd],\xef\xbf\xbd
2524,161132,ORG,[],[],161094,"[American, Tobacco, or, Brown, &, Williamson]",American Tobacco or Brown & Williamson
2525,161176,DATE,[],[],161171,[today],today
2526,161264,CARDINAL,[],[],161261,[105],105
2527,161290,ORG,[],[],161277,[-\xef\xbf\xbd],-\xef\xbf\xbd
2528,161493,PERSON,[],[:],161487,"[LATHAM, :,  ]",LATHAM
2529,161519,PERSON,[],[],161515,"[A.,  ]",A.  
2530,161701,CARDINAL,[],[],161698,[212],212
2531,161799,CARDINAL,[],[490],161796,"[212, -, 490]",212
2532,162159,ORG,[],['s],162153,"[there\, 's]",there\
2533,162229,ORG,[],[    ],162214,"[products.\n\nQ.,     ]",products.\n\nQ.
2534,162234,CARDINAL,[],[],162230,[    ],    
2535,162260,ORG,[],[],162252,[Reynolds],Reynolds
2536,162272,PERSON,[Dr.],[],162266,"[Dr., Figlar]",Figlar
2537,162308,ORG,[],[],162303,[I\'ll],I\'ll
2538,162446,GPE,[],[like],162442,"[I\'d, like, you]",I\'d
2539,162533,PERSON,"[--, he]",[],162521,"[--, he, \xef\xbf\xbd]",\xef\xbf\xbd
2540,162553,PERSON,[Dr.],[],162547,"[Dr., Figlar]",Figlar
2541,162612,ORG,[],[],162578,"[the, R., J., Reynolds, Tobacco, Company]",the R. J. Reynolds Tobacco Company
2542,162670,ORG,[],[],162636,"[the, R., J., Reynolds, Tobacco, Company]",the R. J. Reynolds Tobacco Company
2543,162673,PERSON,[],[],162672,[ ], 
2544,162684,PERSON,[Now],"[here, today, .]",162677,"[Now, you\'re, here, today, representing, earlier, tobacco, companies, that, have, been, acquired, by, Reynolds, .,  ]",you\'re
2545,162695,DATE,[],[representing],162690,"[today, representing, earlier, tobacco, companies, that, have, been, acquired, by, Reynolds]",today
2546,162770,PERSON,[],[],162762,[Reynolds],Reynolds
2547,162989,PERSON,[],[.],162987,"[MR, .]",MR
2548,162997,PERSON,[],[:],162991,"[LATHAM, :,  ]",LATHAM
2549,163027,PERSON,[],[],163023,"[A.,  ]",A.  
2550,163132,CARDINAL,[],[],163129,[279],279
2551,163664,DATE,"[it\, a, complex]",[],163641,"[it\, 's, a, complex, situation.\n\nQ.,  , It\, 's]",situation.\n\nQ.  It\'s
2552,163808,GPE,[],[],163801,[you\'re],you\'re
2553,163908,PERSON,[],[],163904,"[Q.,  ]",Q.  
2554,163947,PERSON,[],[],163931,"[A.,  , Yes.\n\nQ.,  ]",A.  Yes.\n\nQ.  
2555,164019,PERSON,[],"[talking, .]",164013,"[we\'re, talking, about, cigarettes, .,  ]",we\'re
2556,164160,CARDINAL,[],[],164151,[is?\n\nMR],is?\n\nMR
2557,164168,PERSON,[],[:],164162,"[LATHAM, :,  ]",LATHAM
2558,164227,PERSON,[],[],164211,"[A.,  , Yes.\n\nQ.,  ]",A.  Yes.\n\nQ.  
2559,164382,GPE,[],"[ , And, company]",164369,"[smoked.\n\nQ.,  , And, your, company, and, the, companies, you, represent]",smoked.\n\nQ.
2560,164480,CARDINAL,[],[],164477,[279],279
2561,164616,CARDINAL,[],[],164615,[4],4
2562,164809,CARDINAL,[],[],164797,[381\n\nother],381\n\nother
2563,164823,PRODUCT,[],[ ],164810,"[things.\n\nA.,  ]",things.\n\nA.
2564,164835,PRODUCT,[things.\n\nA.],[],164825,"[things.\n\nA.,  , Cigarettes]",Cigarettes
2565,165182,GPE,[],[],165163,[consequences?\n\nMR],consequences?\n\nMR
2566,165190,PERSON,[],[:],165184,"[LATHAM, :,  ]",LATHAM
2567,165266,PERSON,[],[],165259,[you\'re],you\'re
2568,165392,ORG,[him],[],165379,"[him, finish.\n\nGo]",finish.\n\nGo
2569,165411,NORP,[ahead.\n\nA.],[],165407,"[ahead.\n\nA.,  , I\'m]",I\'m
2570,165432,PERSON,[],[],165422,[Sir.\n\nQ.],Sir.\n\nQ.
2571,165512,PERSON,[just],"[No.\n\nMR, .]",165499,"[just, then?\n\nA.,  , No.\n\nMR, .,   ]",then?\n\nA.  
2572,165521,GPE,[],[],165512,[No.\n\nMR],No.\n\nMR
2573,165537,CARDINAL,[],[],165533,[    ],    
2574,165568,ORG,[],[],165552,"[form.\n\nQ.,     ]",form.\n\nQ.     
2575,165585,NORP,[what],[trying],165581,"[what, I\'m, trying,  , to, do]",I\'m
2576,165671,ORG,[],[],165669,[  ],  
2577,165682,ORG,[],"[,, or]",165674,"[Reynolds, ,,   , or,  ]",Reynolds
2578,165686,ORG,[],[],165684,[  ],  
2579,165701,NORP,[],[],165693,[American],American
2580,165705,ORG,[],[],165703,[  ],  
2581,165722,CARDINAL,[],[],165719,[279],279
2582,165849,ORG,[],[],165758,[www.veritext.com\n\n212-490-3430\n\nn.nnumttiwmmtfmmmmmmimmmmmmmmmmmmmmm\n\nmpvfvmwii\'iiii],www.veritext.com\n\n212-490-3430\n\nn.nnumttiwmmtfmmmmmmimmmmmmmmmmmmmmm\n\nmpvfvmwii\'iiii
2583,166229,PERSON,[],[:],166223,"[LATHAM, :,  ]",LATHAM
2584,166580,GPE,[those],[ ],166566,"[those, factors.\n\nQ.,  ]",factors.\n\nQ.
2585,166736,CARDINAL,[doesn\'t],[],166727,"[doesn\'t, it?\n\nMR]",it?\n\nMR
2586,166744,PERSON,[],[:],166738,"[LATHAM, :,  ]",LATHAM
2587,166774,PERSON,[],['s],166771,"[It\, 's]",It\
2588,167182,CARDINAL,[],[],167179,[279],279
2589,167387,PERSON,[cn\x0c\npgNbr=119\nbiti\xef\xbf\xbdii*ifra\xef\xbf\xbdM*m],[],167365,"[cn\x0c\npgNbr=119\nbiti\xef\xbf\xbdii*ifra\xef\xbf\xbdM*m, Waaiifci, a\xef\xbf\xbd]",Waaiifci a\xef\xbf\xbd
2590,167538,CARDINAL,[],[],167398,[2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage],2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage
2591,167551,PRODUCT,[],[be],167539,"[383\n\ngoing, to, be, for, that, individual.\n\nQ.,  ]",383\n\ngoing
2592,167641,ORG,[],[],167625,"[American, Tobacco]",American Tobacco
2593,167701,GPE,[its],[],167686,"[its, products?\n\nMR]",products?\n\nMR
2594,167709,PERSON,[],[:],167703,"[LATHAM, :,  ]",LATHAM
2595,167736,PERSON,[],[],167732,"[A.,  ]",A.  
2596,167752,ORG,[A.],[],167736,"[A.,  , American, Tobacco]",American Tobacco
2597,167918,PERSON,[],[ ],167904,"[example.\n\nQ.,  ]",example.\n\nQ.
2598,168052,ORG,[],"[or, anybody]",168036,"[American, Tobacco, or, anybody]",American Tobacco
2599,168088,GPE,[else\],[.],168072,"[else\, 's, cigarette?\n\nMR, .]",cigarette?\n\nMR
2600,168096,PERSON,[],[:],168090,"[LATHAM, :,  ]",LATHAM
2601,168123,PERSON,[],[],168119,"[A.,  ]",A.  
2602,168215,ORG,[],[],168199,"[American, Tobacco]",American Tobacco
2603,168273,PERSON,[on],[],168260,"[on, that, number?\n\nMR]",number?\n\nMR
2604,168281,PERSON,[],[:],168275,"[LATHAM, :,  ]",LATHAM
2605,168308,PERSON,[],[],168304,"[A.,  ]",A.  
2606,168323,NORP,[],[],168315,[American],American
2607,168447,PERSON,[],[],168443,"[Q.,  ]",Q.  
2608,168475,GPE,[],[],168466,[it.\n\nMR],it.\n\nMR
2609,168483,PERSON,[],[:],168477,"[LATHAM, :,  ]",LATHAM
2610,168560,CARDINAL,[],[],168557,[279],279
2611,168799,PERSON,[],[],168596,"[www.veritext.com\n\n212-490-3430\n\np...|i\xef\xbf\xbdM\xef\xbf\xbdw>.^M^wwWl\xef\xbf\xbdWWMW*WW^)WWWP!\xef\xbf\xbd|!^......\'\'""\xef\xbf\xbd^\xef\xbf\xbdg^^WWWWWWWWIPWWWW\xef\xbf\xbdWWIWIIP*\n\nen\n\nCO]","www.veritext.com\n\n212-490-3430\n\np...|i\xef\xbf\xbdM\xef\xbf\xbdw>.^M^wwWl\xef\xbf\xbdWWMW*WW^)WWWP!\xef\xbf\xbd|!^......\'\'""\xef\xbf\xbd^\xef\xbf\xbdg^^WWWWWWWWIPWWWW\xef\xbf\xbdWWIWIIP*\n\nen\n\nCO"
2612,168883,ORG,[],[],168843,[HtiDfrit|li\xef\xbf\xbd*|llgMli*]i|irnUT],HtiDfrit|li\xef\xbf\xbd*|llgMli*]i|irnUT
2613,168910,TIME,[],[],168907,"[6, 7]",6 7
2614,168926,CARDINAL,[],[],168924,[13],13
2615,168932,DATE,[],[],168927,"[14, 15]",14 15
2616,168935,CARDINAL,[],[],168933,[16],16
2617,168941,CARDINAL,[],"[20, 22]",168939,"[18, 19, 20, 21, 22]",18
2618,168944,CARDINAL,[],[],168942,[19],19
2619,168947,CARDINAL,[19],[21],168945,"[19, 20, 21]",20
2620,168956,CARDINAL,[],[],168954,[23],23
2621,168970,CARDINAL,[24],[],168960,"[23, 24, 25\n\nPage]",25\n\nPage
2622,169218,PERSON,[],[:],169212,"[LATHAM, :,  ]",LATHAM
2623,169244,PERSON,[],[],169240,"[A.,  ]",A.  
2624,169364,GPE,[],"[ , And]",169346,"[information.\n\nQ.,  , And]",information.\n\nQ.
2625,169417,PERSON,[],[:],169411,"[LATHAM, :,  ]",LATHAM
2626,169451,PERSON,[],[with],169439,"[A.,  , Disagree, with, \xef\xbf\xbd]",A.  Disagree
2627,169469,PERSON,[],[],169457,[\xef\xbf\xbd],\xef\xbf\xbd
2628,169534,GPE,[],[ ],169514,"[\'\xef\xbf\xbd\n\nQ.,  ]",\'\xef\xbf\xbd\n\nQ.
2629,169586,ORG,[],[],169561,"[the, Surgeon, General, years]",the Surgeon General years
2630,169613,CARDINAL,[],[],169608,"[197, 9]",197 9
2631,169631,CARDINAL,[],[],169624,"[400,000]","400,000"
2632,169697,CARDINAL,[],[],169686,[that?\n\nMR],that?\n\nMR
2633,169705,PERSON,[],[:],169699,"[LATHAM, :,  ]",LATHAM
2634,169729,PERSON,[],[.],169727,"[MR, .]",MR
2635,169737,PERSON,[],[:],169731,"[REILLY, :,  ]",REILLY
2636,169764,PERSON,[],[],169760,"[A.,  ]",A.  
2637,169807,PERSON,[that],[],169800,"[that, you\'re]",you\'re
2638,169875,PERSON,[],[],169863,[\xef\xbf\xbd],\xef\xbf\xbd
2639,169896,ORG,[],[],169880,"[American, Tobacco]",American Tobacco
2640,169933,CARDINAL,[],[],169930,[279],279
2641,170150,CARDINAL,[],[],169969,"[www.veritext.oom\n\ni\xef\xbf\xbd\xef\xbf\xbdmii\xef\xbf\xbdpiw^w*wwwww^lwwiWWlWIIWWMW!HI*WWW^\n\n212-490-3430\n\nWjqjlHligif0im/0lt*em0tat*rr*min\xef\xbf\xbdm\\,iti<m\'i>mm\'\n\nOn]","www.veritext.oom\n\ni\xef\xbf\xbd\xef\xbf\xbdmii\xef\xbf\xbdpiw^w*wwwww^lwwiWWlWIIWWMW!HI*WWW^\n\n212-490-3430\n\nWjqjlHligif0im/0lt*em0tat*rr*min\xef\xbf\xbdm\\,iti<m\'i>mm\'\n\nOn"
2642,170158,CARDINAL,[],[],170157,[4],4
2643,170167,CARDINAL,[*],[],170160,"[*, 00\n\no]",00\n\no
2644,170199,ORG,[],[],170168,[en\n\nCO\x0c\npgNbr=121\n1\n\n2],en\n\nCO\x0c\npgNbr=121\n1\n\n2
2645,170208,CARDINAL,[en\n\nCO\x0c\npgNbr=121\n1\n\n2],[],170200,"[en\n\nCO\x0c\npgNbr=121\n1\n\n2, 3, 4\n\n5]",3 4\n\n5
2646,170212,TIME,[],[],170209,"[6, 7]",6 7
2647,170228,CARDINAL,[],[],170226,[13],13
2648,170234,DATE,[],[],170229,"[14, 15]",14 15
2649,170237,CARDINAL,[],[],170235,[16],16
2650,170243,CARDINAL,[],"[20, 22]",170241,"[18, 19, 20, 21, 22]",18
2651,170246,CARDINAL,[],[],170244,[19],19
2652,170249,CARDINAL,[19],[21],170247,"[19, 20, 21]",20
2653,170258,CARDINAL,[],[],170256,[23],23
2654,170272,CARDINAL,[],[],170262,[25\n\nPage],25\n\nPage
2655,170290,ORG,[],[:],170284,"[LATHAM, :,  ]",LATHAM
2656,170316,PERSON,[],[],170312,"[A.,  ]",A.  
2657,170502,PERSON,[],[ ],170487,"[research.\n\nQ.,  ]",research.\n\nQ.
2658,170603,ORG,[],[],170587,"[American, Tobacco]",American Tobacco
2659,170611,PERSON,"[American, Tobacco]",[],170604,"[American, Tobacco, didn\'t]",didn\'t
2660,170626,CARDINAL,[],[],170619,"[400,000]","400,000"
2661,170680,PERSON,[],[],170667,[accept?\n\nMR],accept?\n\nMR
2662,170688,PERSON,[],[:],170682,"[LATHAM, :,  ]",LATHAM
2663,170714,PERSON,[],[],170710,"[A.,  ]",A.  
2664,171042,PERSON,[],[],171021,"[situation.\n\nQ.,     ]",situation.\n\nQ.     
2665,171078,DATE,[],[],171073,[today],today
2666,171384,PERSON,[that],[],171374,"[that, now?\n\nMR]",now?\n\nMR
2667,171392,PERSON,[],[:],171386,"[LATHAM, :,  ]",LATHAM
2668,171424,CARDINAL,[],[],171421,[279],279
2669,171536,PERSON,[],[],171499,"[\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd,]","\xef\xbf\xbd\xef\xbf\xbd\xef\xbf\xbd,"
2670,171550,CARDINAL,[..],[...........],171538,"[.., \xef\xbf\xbd, ...........]",\xef\xbf\xbd
2671,171824,CARDINAL,[o\x0c\npgNbr=122\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage],[ ],171815,"[ro, o\x0c\npgNbr=122\n1\n\n2\n\n3\n\n4\n\n5\n\n6\n\n7\n\n8\n\n9\n\n10\n\n11\n\n12\n\n13\n\n14\n\n15\n\n16\n\n17\n\n18\n\n19\n\n20\n\n21\n\n22\n\n23\n\n24\n\n25\n\nPage, 386\n\nA.,  ]",386\n\nA.
2672,171948,GPE,[],[ ],171934,"[written.\n\nQ.,  ]",written.\n\nQ.
2673,172029,GPE,[],[],172015,[disease?\n\nMR],disease?\n\nMR
2674,172037,PERSON,[],[:],172031,"[LATHAM, :,  ]",LATHAM
2675,172313,PRODUCT,[A.],[],172305,"[A.,  , Nicotine]",Nicotine
2676,172575,ORG,[],[:],172569,"[LATHAM, :,  ]",LATHAM
2677,172640,CARDINAL,[],[ ],172624,"[questions.\n\nQ.,  ]",questions.\n\nQ.
2678,172744,GPE,[],[],172730,[disease?\n\nMR],disease?\n\nMR
2679,172752,PERSON,[*],[],172746,"[*, LATHAM]",LATHAM
2680,172816,CARDINAL,[],[],172813,[279],279
2681,172914,ORG,[[],[i|W],172890,"[[, iii.iiumiiii...........i, i|W]",iii.iiumiiii...........i
2682,172947,GPE,[],[],172919,[El\xef\xbf\xbd>\xef\xbf\xbdp],El\xef\xbf\xbd>\xef\xbf\xbdp
2683,173394,PERSON,[],[],173393,[ ], 
2684,173482,PERSON,[],[:],173476,"[LATHAM, :,  ]",LATHAM
2685,173556,ORG,[],['s],173550,"[there\, 's]",there\
2686,173595,CARDINAL,[],[],173594,[X],X
2687,173716,ORG,[],[],173697,"[account.\n\nQ.,     ]",account.\n\nQ.     
2688,173735,NORP,[],[],173727,[American],American
2689,173812,ORG,[],[],173796,"[American, Tobacco]",American Tobacco
2690,173936,PERSON,[],[],173932,"[Q.,  ]",Q.  
2691,173959,ORG,[],[],173943,"[American, Tobacco]",American Tobacco
2692,174063,ORG,[],[],174047,"[American, Tobacco]",American Tobacco
2693,174123,PERSON,[],[.],174121,"[MR, .]",MR
2694,174131,PERSON,[],[:],174125,"[LATHAM, :,  ]",LATHAM
2695,174157,PERSON,[],[],174153,"[A.,  ]",A.  
2696,174199,PERSON,[],[],174195,"[Q.,  ]",Q.  
2697,174218,ORG,[],[],174202,"[American, Tobacco]",American Tobacco
2698,174323,ORG,[],[],174307,"[American, Tobacco]",American Tobacco
2699,174382,PERSON,[],[:],174376,"[LATHAM, :,  ]",LATHAM
2700,174414,CARDINAL,[],[],174411,[279],279
2701,174518,CARDINAL,[],[],174506,[\xef\xbf\xbd],\xef\xbf\xbd
2702,174649,PERSON,[],[...],174575,"[ltlVlJ\xef\xbf\xbd\xef\xbf\xbdl.\xef\xbf\xbdl\xef\xbf\xbdiMWW\xef\xbf\xbdW, ...]",ltlVlJ\xef\xbf\xbd\xef\xbf\xbdl.\xef\xbf\xbdl\xef\xbf\xbdiMWW\xef\xbf\xbdW
2703,174966,PERSON,[],[],174959,[didn\'t],didn\'t
2704,175031,DATE,[],[],175027,[1988],1988
2705,175146,DATE,[],[],175142,[1988],1988
2706,175177,CARDINAL,[],[],175165,[\xef\xbf\xbd],\xef\xbf\xbd
2707,175412,ORG,[],[],175396,"[American, Tobacco]",American Tobacco
2708,175468,DATE,[],[],175464,[1988],1988
2709,175472,PERSON,[],[.],175470,"[MR, .]",MR
